,n,h_b,h_g,a_b,a_g,e_b,e_g,ebh,egh,iteration
40,0.6,0.5,0.6,0.5,0.9,0.497341576943461,0.5026584230565391,0.537995099124281,0.5428819344955201,12.0
41,0.6,0.5,0.6,0.5,1.0,0.49731122515074344,0.5026887748492566,0.5382746508463425,0.5432139913217325,12.0
42,0.6,0.5,0.6,0.6,0.5,0.49747334946774596,0.502526650532254,0.5371855229865438,0.5418394868845473,10.0
43,0.6,0.5,0.6,0.6,0.6,0.4974432970472312,0.5025567029527688,0.5374534506444009,0.542159761878863,1000.0
44,0.6,0.5,0.6,0.6,0.7,0.4974131755503688,0.5025868244496312,0.5377249982076918,0.5424836755900491,11.0
45,0.6,0.5,0.6,0.6,0.8,0.4973829933709739,0.5026170066290261,0.5380002055089127,0.5428112505346305,12.0
46,0.6,0.5,0.6,0.6,0.9,0.4973527593353445,0.5026472406646554,0.5382791114701646,0.5431425075577302,13.0
47,0.6,0.5,0.6,0.6,1.0,0.49732248271366203,0.502677517286338,0.53856175399141,0.5434774657062895,13.0
48,0.6,0.5,0.6,0.7,0.5,0.49748442163000395,0.5025155783699962,0.5374608502096452,0.5420917652720725,12.0
49,0.6,0.5,0.6,0.7,0.6,0.49745442532217365,0.5025455746778262,0.5377317703104728,0.5424148810934724,11.0
50,0.6,0.5,0.6,0.7,0.7,0.497424365151487,0.502575634848513,0.5380063439168553,0.5427416588740093,11.0
51,0.6,0.5,0.6,0.7,0.8,0.49739424975692004,0.5026057502430799,0.5382846102729603,0.5430721201191292,13.0
52,0.6,0.5,0.6,0.7,0.9,0.49736408821651734,0.5026359117834828,0.5385666076290361,0.5434062845710487,13.0
53,0.6,0.5,0.6,0.7,1.0,0.49733389005857875,0.5026661099414212,0.5388523731250281,0.5437441700779496,13.0
54,0.6,0.5,0.6,0.8,0.5,0.497495630197481,0.502504369802519,0.5377395687262512,0.5423471746877129,11.0
55,0.6,0.5,0.6,0.8,0.6,0.4974656927897669,0.5025343072102332,0.5380135150087744,0.5426731597858371,1000.0
56,0.6,0.5,0.6,0.8,0.7,0.4974356968700496,0.5025643031299504,0.5382911479802034,0.5430028294386217,1000.0
57,0.6,0.5,0.6,0.8,0.8,0.4974056513263857,0.5025943486736143,0.5385725062273429,0.5433362040667539,12.0
58,0.6,0.5,0.6,0.8,0.9,0.49737556549235096,0.502624434507649,0.5388576272554869,0.5436733022321936,14.0
59,0.6,0.5,0.6,0.8,1.0,0.4973454491579846,0.5026545508420153,0.5391465473672933,0.544014140503305,14.0
60,0.6,0.5,0.6,0.9,0.5,0.4975069768157154,0.5024930231842847,0.5380217194323282,0.5426057534823643,12.0
61,0.6,0.5,0.6,0.9,0.6,0.4974771011552879,0.502522898844712,0.5382987253007008,0.5429346358839551,11.0
62,0.6,0.5,0.6,0.9,0.7,0.49744717247297765,0.5025528275270223,0.5385794505618209,0.5432672247245333,12.0
63,0.6,0.5,0.6,0.9,0.8,0.49741719990974,0.50258280009026,0.5388639330722959,0.5436035392628347,13.0
64,0.6,0.5,0.6,0.9,0.9,0.4973871930583465,0.5026128069416534,0.5391522095154495,0.543943596799632,1000.0
65,0.6,0.5,0.6,0.9,1.0,0.4973571619740495,0.5026428380259506,0.5394443152753665,0.5442874125387762,15.0
66,0.6,0.5,0.6,1.0,0.5,0.4975184631183718,0.5024815368816283,0.5383073429279908,0.5428675397607393,1000.0
67,0.6,0.5,0.6,1.0,0.6,0.49748865211201476,0.5025113478879852,0.5385874413889602,0.5431993470083174,1000.0
68,0.6,0.5,0.6,1.0,0.7,0.4974587937149695,0.5025412062850305,0.5388712914004906,0.5435348818000268,13.0
69,0.6,0.5,0.6,1.0,0.8,0.4974288973247946,0.5025711026752053,0.5391589300122317,0.5438741621518551,15.0
70,0.6,0.5,0.6,1.0,0.9,0.497398972796982,0.502601027203018,0.5394503930044928,0.5442172040187915,14.0
71,0.6,0.5,0.6,1.0,1.0,0.49736903045530567,0.5026309695446942,0.5397457147573739,0.5445640211517662,15.0
72,0.6,0.5,0.7,0.5,0.5,0.4948972905233368,0.5051027094766632,0.5340592821660656,0.5434734471342871,10.0
73,0.6,0.5,0.7,0.5,0.6,0.4948336717660782,0.5051663282339218,0.5342941489597742,0.5438196820464434,10.0
74,0.6,0.5,0.7,0.5,0.7,0.494769882006426,0.505230117993574,0.5345325128809326,0.5441695071657275,11.0
75,0.6,0.5,0.7,0.5,0.8,0.4947059418635444,0.5052940581364557,0.5347744111035517,0.5445229180354084,11.0
76,0.6,0.5,0.7,0.5,0.9,0.49464187300314366,0.5053581269968563,0.535019879485279,0.5448799070721981,12.0
77,0.6,0.5,0.7,0.5,1.0,0.49457769815564445,0.5054223018443555,0.5352689524340868,0.5452404634147082,1000.0
78,0.6,0.5,0.7,0.6,0.5,0.49491752515648446,0.5050824748435156,0.5343210327165484,0.5436929739509212,1000.0
79,0.6,0.5,0.7,0.6,0.6,0.4948540238689997,0.5051459761310002,0.5345584997763115,0.5440415045460335,1000.0
80,0.6,0.5,0.7,0.6,0.7,0.49479036193725934,0.5052096380627406,0.5347994955007704,0.5443936365165217,11.0
81,0.6,0.5,0.7,0.6,0.8,0.49472656044003466,0.5052734395599654,0.5350440565577919,0.5447493641153175,11.0
82,0.6,0.5,0.7,0.6,0.9,0.4946626415116959,0.5053373584883041,0.5352922182226221,0.5451086783832965,1000.0
83,0.6,0.5,0.7,0.6,1.0,0.4945986283595589,0.5054013716404411,0.5355440142407795,0.5454715669958115,14.0
84,0.6,0.5,0.7,0.7,0.5,0.4949380268053905,0.5050619731946094,0.5345862349507642,0.5439154346455262,11.0
85,0.6,0.5,0.7,0.7,0.6,0.4948746478461893,0.5051253521538108,0.5348263361898014,0.5442662854203822,12.0
86,0.6,0.5,0.7,0.7,0.7,0.49481111884461154,0.5051888811553885,0.5350699974613153,0.5446207481557102,11.0
87,0.6,0.5,0.7,0.7,0.8,0.4947474613453571,0.5052525386546428,0.5353172548741106,0.5449788157538182,12.0
88,0.6,0.5,0.7,0.7,0.9,0.49468369795745337,0.5053163020425466,0.5355681430649067,0.5453404778170907,1000.0
89,0.6,0.5,0.7,0.7,1.0,0.494619852370723,0.505380147629277,0.5358226950573811,0.5457057204926544,14.0
90,0.6,0.5,0.7,0.8,0.5,0.4949587993324855,0.5050412006675147,0.53485493874062,0.5441408726019076,1000.0
91,0.6,0.5,0.7,0.8,0.6,0.49489554767765404,0.505104452322346,0.53509770806918,0.5444940678628801,12.0
92,0.6,0.5,0.7,0.8,0.7,0.4948321568299994,0.5051678431700006,0.535344068585104,0.5448508850384018,13.0
93,0.6,0.5,0.7,0.8,0.8,0.49476864880632565,0.5052313511936743,0.5355940557822709,0.5452113156173662,13.0
94,0.6,0.5,0.7,0.8,0.9,0.49470504669613335,0.5052949533038666,0.5358477035997137,0.5455753476984823,13.0
95,0.6,0.5,0.7,0.8,1.0,0.49464137467714375,0.5053586253228561,0.5361050442767619,0.5459429658331442,14.0
96,0.6,0.5,0.7,0.9,0.5,0.4949798466122423,0.5050201533877579,0.5351271941109655,0.5443693313829345,12.0
97,0.6,0.5,0.7,0.9,0.6,0.4949167273564195,0.5050832726435805,0.5353726653931957,0.5447248952031628,1000.0
98,0.6,0.5,0.7,0.9,0.7,0.4948534800088297,0.5051465199911702,0.5356217587583719,0.5450840902104674,13.0
99,0.6,0.5,0.7,0.9,0.8,0.4947901270643889,0.505209872935611,0.5358745090265254,0.5454469064149593,14.0
100,0.6,0.5,0.7,0.9,0.9,0.49472669209868025,0.5052733079013197,0.5361309493766939,0.5458133303438962,1000.0
101,0.6,0.5,0.7,0.9,1.0,0.49466319978246676,0.5053368002175332,0.5363911111981224,0.5461833448828377,15.0
