,n,h_b,h_g,a_b,a_g,e_b,e_g,ebh,egh,iteration
0,0.6,0.5,0.5,0.5,0.5,0.49999999999999994,0.49999999999999994,0.9100086567742581,0.9100086567742581,2.0
1,0.6,0.5,0.5,0.5,0.6,0.5000000000000001,0.5000000000000001,0.9109922663353298,0.9109922663353298,8.0
2,0.6,0.5,0.5,0.5,0.7,0.49999999999999994,0.49999999999999994,0.9120070989233922,0.9120070989233922,8.0
3,0.6,0.5,0.5,0.5,0.8,0.5,0.5,0.9130540952843125,0.9130540952843125,9.0
4,0.6,0.5,0.5,0.5,0.9,0.5,0.5,0.9141342181974444,0.9141342181974444,9.0
5,0.6,0.5,0.5,0.5,1.0,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,10.0
6,0.6,0.5,0.5,0.6,0.5,0.5000000000000001,0.5000000000000001,0.9109922663353298,0.9109922663353298,8.0
7,0.6,0.5,0.5,0.6,0.6,0.49999999999999994,0.49999999999999994,0.9120070989233922,0.9120070989233922,8.0
8,0.6,0.5,0.5,0.6,0.7,0.5,0.5,0.9130540952843125,0.9130540952843125,10.0
9,0.6,0.5,0.5,0.6,0.8,0.5,0.5,0.9141342181974444,0.9141342181974444,10.0
10,0.6,0.5,0.5,0.6,0.9,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,10.0
11,0.6,0.5,0.5,0.6,1.0,0.49999999999999994,0.49999999999999994,0.9163978010594023,0.9163978010594023,1000.0
12,0.6,0.5,0.5,0.7,0.5,0.49999999999999994,0.49999999999999994,0.9120070989233922,0.9120070989233922,9.0
13,0.6,0.5,0.5,0.7,0.6,0.5,0.5,0.9130540952843125,0.9130540952843125,10.0
14,0.6,0.5,0.5,0.7,0.7,0.5,0.5,0.9141342181974444,0.9141342181974444,10.0
15,0.6,0.5,0.5,0.7,0.8,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,11.0
16,0.6,0.5,0.5,0.7,0.9,0.49999999999999994,0.49999999999999994,0.9163978010594025,0.9163978010594025,1000.0
17,0.6,0.5,0.5,0.7,1.0,0.5,0.5,0.9175832900479568,0.9175832900479568,13.0
18,0.6,0.5,0.5,0.8,0.5,0.5,0.5,0.9130540952843125,0.9130540952843125,10.0
19,0.6,0.5,0.5,0.8,0.6,0.5,0.5,0.9141342181974444,0.9141342181974444,10.0
20,0.6,0.5,0.5,0.8,0.7,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,11.0
21,0.6,0.5,0.5,0.8,0.8,0.5,0.5,0.9163978010594024,0.9163978010594024,10.0
22,0.6,0.5,0.5,0.8,0.9,0.49999999999999994,0.49999999999999994,0.9175832900479569,0.9175832900479569,12.0
23,0.6,0.5,0.5,0.8,1.0,0.5000000000000001,0.5000000000000001,0.9188059611612365,0.9188059611612365,12.0
24,0.6,0.5,0.5,0.9,0.5,0.5,0.5,0.9141342181974444,0.9141342181974444,9.0
25,0.6,0.5,0.5,0.9,0.6,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,11.0
26,0.6,0.5,0.5,0.9,0.7,0.49999999999999994,0.49999999999999994,0.9163978010594025,0.9163978010594025,1000.0
27,0.6,0.5,0.5,0.9,0.8,0.49999999999999994,0.49999999999999994,0.9175832900479569,0.9175832900479569,12.0
28,0.6,0.5,0.5,0.9,0.9,0.5000000000000001,0.5000000000000001,0.9188059611612365,0.9188059611612365,12.0
29,0.6,0.5,0.5,0.9,1.0,0.5,0.5,0.9200668730517605,0.9200668730517605,11.0
30,0.6,0.5,0.5,1.0,0.5,0.5000000000000001,0.5000000000000001,0.9152484518623523,0.9152484518623523,11.0
31,0.6,0.5,0.5,1.0,0.6,0.49999999999999994,0.49999999999999994,0.9163978010594025,0.9163978010594025,1000.0
32,0.6,0.5,0.5,1.0,0.7,0.5,0.5,0.9175832900479568,0.9175832900479568,13.0
33,0.6,0.5,0.5,1.0,0.8,0.5000000000000001,0.5000000000000001,0.9188059611612365,0.9188059611612365,13.0
34,0.6,0.5,0.5,1.0,0.9,0.5,0.5,0.9200668730517605,0.9200668730517605,11.0
35,0.6,0.5,0.5,1.0,1.0,0.5,0.5,0.9213670985356949,0.9213670985356949,1000.0
36,0.6,0.5,0.6,0.5,0.5,0.49603604830778303,0.503963951692217,0.9092615424006417,0.9106889574423025,9.0
37,0.6,0.5,0.6,0.5,0.6,0.49540531152563005,0.50459468847437,0.9101388252826137,0.9117753233005206,11.0
38,0.6,0.5,0.6,0.5,0.7,0.4947786840201213,0.5052213159798785,0.911052096389047,0.9128905980350035,1000.0
39,0.6,0.5,0.6,0.5,0.8,0.4941566255713734,0.5058433744286266,0.9120025532863488,0.9140356016800015,10.0
40,0.6,0.5,0.6,0.5,0.9,0.4935396194163457,0.5064603805836543,0.9129914111650972,0.9152111646521216,12.0
41,0.6,0.5,0.6,0.5,1.0,0.49292817302062164,0.5070718269793784,0.9140198999135201,0.9164181258023582,11.0
42,0.6,0.5,0.6,0.6,0.5,0.4960589174425568,0.5039410825574432,0.9102466849631915,0.9116505205963936,10.0
43,0.6,0.5,0.6,0.6,0.6,0.49543124799558247,0.5045687520044175,0.9111552916927687,0.9127642277893783,9.0
44,0.6,0.5,0.6,0.6,0.7,0.49480790908291405,0.505192090917086,0.9121008566415255,0.9139076162961459,11.0
45,0.6,0.5,0.6,0.6,0.8,0.49418937423398057,0.5058106257660194,0.9130845961565053,0.9150815209315522,10.0
46,0.6,0.5,0.6,0.6,0.9,0.49357614108714404,0.5064238589128559,0.914107742570575,0.9162867858116175,1000.0
47,0.6,0.5,0.6,0.6,1.0,0.4929687321548957,0.5070312678451042,0.9151715409114586,0.9175242621520004,12.0
48,0.6,0.5,0.6,0.7,0.5,0.4960825073166639,0.5039174926833361,0.9112628730739049,0.912642571340072,1000.0
49,0.6,0.5,0.6,0.7,0.6,0.4954580189204181,0.504541981079582,0.9122037025084887,0.9137844198204973,10.0
50,0.6,0.5,0.6,0.7,0.7,0.49483809090766323,0.5051619090923367,0.9131824801460933,0.9149567395945669,1000.0
51,0.6,0.5,0.6,0.7,0.8,0.49422321105504524,0.5057767889449548,0.9142004401651482,0.9161603796466332,10.0
