,n,h_b,h_g,a_b,a_g,e_b,e_g,ebh,egh,iteration
0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.6224593312018546,0.6224593312018546,2.0
1,1.0,0.5,0.5,0.5,0.6,0.5,0.5,0.6254017620235957,0.6254017620235957,11.0
2,1.0,0.5,0.5,0.5,0.7,0.5,0.5,0.6284786511119461,0.6284786511119461,14.0
3,1.0,0.5,0.5,0.5,0.8,0.5,0.5,0.631698305625665,0.631698305625665,14.0
4,1.0,0.5,0.5,0.5,0.9,0.5,0.5,0.6350695722297242,0.6350695722297242,17.0
5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.6386018518066227,0.6386018518066227,18.0
6,1.0,0.5,0.5,0.6,0.5,0.5,0.5,0.6254017620235957,0.6254017620235957,11.0
7,1.0,0.5,0.5,0.6,0.6,0.5,0.5,0.6284786511119461,0.6284786511119461,14.0
8,1.0,0.5,0.5,0.6,0.7,0.5,0.5,0.631698305625665,0.631698305625665,14.0
9,1.0,0.5,0.5,0.6,0.8,0.5,0.5,0.6350695722297242,0.6350695722297242,17.0
10,1.0,0.5,0.5,0.6,0.9,0.5,0.5,0.6386018518066227,0.6386018518066227,19.0
11,1.0,0.5,0.5,0.6,1.0,0.5,0.5,0.6423051063845172,0.6423051063845172,20.0
12,1.0,0.5,0.5,0.7,0.5,0.5,0.5,0.6284786511119461,0.6284786511119461,14.0
13,1.0,0.5,0.5,0.7,0.6,0.5,0.5,0.631698305625665,0.631698305625665,14.0
14,1.0,0.5,0.5,0.7,0.7,0.5,0.5,0.6350695722297242,0.6350695722297242,17.0
15,1.0,0.5,0.5,0.7,0.8,0.5,0.5,0.6386018518066227,0.6386018518066227,18.0
16,1.0,0.5,0.5,0.7,0.9,0.5,0.5,0.6423051063845172,0.6423051063845172,20.0
17,1.0,0.5,0.5,0.7,1.0,0.5,0.5,0.6461898551125727,0.6461898551125727,21.0
18,1.0,0.5,0.5,0.8,0.5,0.5,0.5,0.631698305625665,0.631698305625665,14.0
19,1.0,0.5,0.5,0.8,0.6,0.5,0.5,0.6350695722297242,0.6350695722297242,17.0
20,1.0,0.5,0.5,0.8,0.7,0.5,0.5,0.6386018518066227,0.6386018518066227,18.0
21,1.0,0.5,0.5,0.8,0.8,0.5,0.5,0.6423051063845172,0.6423051063845172,20.0
22,1.0,0.5,0.5,0.8,0.9,0.5,0.5,0.6461898551125727,0.6461898551125727,21.0
23,1.0,0.5,0.5,0.8,1.0,0.5,0.5,0.6502671552447001,0.6502671552447001,22.0
24,1.0,0.5,0.5,0.9,0.5,0.5,0.5,0.6350695722297242,0.6350695722297242,17.0
25,1.0,0.5,0.5,0.9,0.6,0.5,0.5,0.6386018518066227,0.6386018518066227,19.0
26,1.0,0.5,0.5,0.9,0.7,0.5,0.5,0.6423051063845172,0.6423051063845172,20.0
27,1.0,0.5,0.5,0.9,0.8,0.5,0.5,0.6461898551125727,0.6461898551125727,21.0
28,1.0,0.5,0.5,0.9,0.9,0.5,0.5,0.6502671552447001,0.6502671552447001,22.0
29,1.0,0.5,0.5,0.9,1.0,0.5,0.5,0.6545485630554858,0.6545485630554858,23.0
30,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.6386018518066227,0.6386018518066227,18.0
31,1.0,0.5,0.5,1.0,0.6,0.5,0.5,0.6423051063845172,0.6423051063845172,20.0
32,1.0,0.5,0.5,1.0,0.7,0.5,0.5,0.6461898551125727,0.6461898551125727,21.0
33,1.0,0.5,0.5,1.0,0.8,0.5,0.5,0.6502671552447001,0.6502671552447001,22.0
34,1.0,0.5,0.5,1.0,0.9,0.5,0.5,0.6545485630554858,0.6545485630554858,23.0
35,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.6590460684074066,0.6590460684074066,25.0
36,1.0,0.5,0.6,0.5,0.5,0.49038044711856243,0.5096195528814376,0.6147422333080316,0.6292864455099528,11.0
37,1.0,0.5,0.6,0.5,0.6,0.48994657789595925,0.5100534221040408,0.617608359376632,0.6326826414249122,13.0
38,1.0,0.5,0.6,0.5,0.7,0.4894979614643504,0.5105020385356496,0.6206325191787375,0.6362412008372301,14.0
39,1.0,0.5,0.6,0.5,0.8,0.4890343325555106,0.5109656674444893,0.6238258784278785,0.6399717785585598,16.0
40,1.0,0.5,0.6,0.5,0.9,0.4885555103231211,0.5114444896768788,0.6272003465688565,0.6438844711272509,1000.0
41,1.0,0.5,0.6,0.5,1.0,0.4880614228746153,0.5119385771253846,0.630768572225246,0.647989770527421,20.0
42,1.0,0.5,0.6,0.6,0.5,0.49045067770566303,0.509549322294337,0.617557080777089,0.6318915937871448,12.0
43,1.0,0.5,0.6,0.6,0.6,0.4900134498100421,0.5099865501899579,0.6205459208453519,0.6354068508241943,13.0
44,1.0,0.5,0.6,0.6,0.7,0.4895614774666532,0.5104385225333469,0.6237012046586755,0.6390919061086628,1000.0
45,1.0,0.5,0.6,0.6,0.8,0.4890945458453416,0.5109054541546584,0.6270346898582166,0.6429568377153343,16.0
46,1.0,0.5,0.6,0.6,0.9,0.48861253826903894,0.5113874617309608,0.630558887115218,0.6470121514192708,1000.0
47,1.0,0.5,0.6,0.6,1.0,0.4881154634917737,0.5118845365082263,0.6342870419585801,0.6512687192369083,21.0
48,1.0,0.5,0.6,0.7,0.5,0.4905242130810472,0.5094757869189528,0.620504334416716,0.6346208838428634,13.0
49,1.0,0.5,0.6,0.7,0.6,0.490083677870773,0.5099163221292269,0.6236235689093494,0.638262323428754,16.0
50,1.0,0.5,0.6,0.7,0.7,0.4896284306032422,0.5103715693967579,0.6269181929290901,0.6420814351029333,16.0
51,1.0,0.5,0.6,0.7,0.8,0.4891583150604924,0.5108416849395077,0.6304005726137882,0.6460887228320626,19.0
52,1.0,0.5,0.6,0.7,0.9,0.48867328863591314,0.5113267113640867,0.6340838273963804,0.650295094198679,20.0
53,1.0,0.5,0.6,0.7,1.0,0.48817345260581174,0.5118265473941882,0.6379817942747895,0.6547117802021152,21.0
54,1.0,0.5,0.6,0.8,0.5,0.49060126736368453,0.5093987326363154,0.6235925692715565,0.6374824852728389,16.0
55,1.0,0.5,0.6,0.8,0.6,0.49015749429137,0.50984250570863,0.6268504172338814,0.641257716968311,16.0
56,1.0,0.5,0.6,0.8,0.7,0.48969907609868973,0.5103009239013103,0.6302931573052872,0.6452189466739477,18.0
57,1.0,0.5,0.6,0.8,0.8,0.4892259244638426,0.5107740755361574,0.6339337741438238,0.6493770997059931,20.0
58,1.0,0.5,0.6,0.8,0.9,0.48873808203809394,0.511261917961906,0.6377859937852939,0.6537434679461107,1000.0
59,1.0,0.5,0.6,0.8,1.0,0.4882357559524957,0.5117642440475043,0.6418642254998285,0.6583296065903093,23.0
60,1.0,0.5,0.6,0.9,0.5,0.49068207004116426,0.5093179299588357,0.6268309754846317,0.6404851691766633,16.0
61,1.0,0.5,0.6,0.9,0.6,0.49023514929721845,0.5097648507027815,0.6302362193533233,0.6444023122423604,1000.0
62,1.0,0.5,0.6,0.9,0.7,0.4897736905068938,0.5102263094931061,0.6338364304670009,0.6485142387943097,20.0
63,1.0,0.5,0.6,0.9,0.8,0.48929768375751975,0.5107023162424803,0.6376452127687302,0.6528322812490871,22.0
64,1.0,0.5,0.6,0.9,0.9,0.48880726954988646,0.5111927304501136,0.6416768835103318,0.6573680849614247,23.0
65,1.0,0.5,0.6,0.9,1.0,0.48830277576145126,0.5116972242385488,0.6459463867568244,0.6621334767405025,25.0
66,1.0,0.5,0.6,1.0,0.5,0.4907668667112936,0.5092331332887063,0.6302293879127501,0.6436383400192208,18.0
67,1.0,0.5,0.6,1.0,0.6,0.4903169121627134,0.5096830878372867,0.6337913934189007,0.6477060403393695,20.0
68,1.0,0.5,0.6,1.0,0.7,0.4898525731094515,0.5101474268905486,0.6375590218044234,0.6519777687568314,22.0
69,1.0,0.5,0.6,1.0,0.8,0.48937392990791756,0.5106260700920824,0.6415464843176658,0.6564652376108808,1000.0
70,1.0,0.5,0.6,1.0,0.9,0.4888812350111906,0.5111187649888094,0.645768656338131,0.6611803975287824,1000.0
71,1.0,0.5,0.6,1.0,1.0,0.4883749535690079,0.5116250464309922,0.6502409553381778,0.6661352715457857,1000.0
72,1.0,0.5,0.7,0.5,0.5,0.4803871937626931,0.5196128062373069,0.6057261331469801,0.6354898990211046,13.0
73,1.0,0.5,0.7,0.5,0.6,0.47944400692813055,0.5205559930718695,0.6083466285268404,0.6392782635391188,13.0
74,1.0,0.5,0.7,0.5,0.7,0.4784656729844613,0.5215343270155386,0.6111338067906246,0.6432466374753394,15.0
75,1.0,0.5,0.7,0.5,0.8,0.47745180215230276,0.5225481978476972,0.6141003805761619,0.6474038768046796,17.0
76,1.0,0.5,0.7,0.5,0.9,0.4764023167789055,0.5235976832210946,0.6172598106562397,0.6517587476589919,18.0
77,1.0,0.5,0.7,0.5,1.0,0.4753175329140981,0.5246824670859018,0.6206262344947702,0.65631974844939,20.0
78,1.0,0.5,0.7,0.6,0.5,0.4805188687283137,0.5194811312716863,0.6083819660280196,0.6377542063998374,14.0
79,1.0,0.5,0.7,0.6,0.6,0.47957041137044093,0.520429588629559,0.611109236527644,0.6416412373713952,15.0
80,1.0,0.5,0.7,0.6,0.7,0.47858699742359867,0.5214130025764014,0.6140109938469727,0.6457140144558853,17.0
81,1.0,0.5,0.7,0.6,0.8,0.4775683655167901,0.5224316344832098,0.6171005002078539,0.6499815933738052,17.0
82,1.0,0.5,0.7,0.6,0.9,0.4765145979519127,0.5234854020480872,0.6203917589582039,0.6544528889410217,20.0
83,1.0,0.5,0.7,0.6,1.0,0.4754262075543059,0.5245737924456941,0.6238994234844193,0.6591364774093218,23.0
84,1.0,0.5,0.7,0.7,0.5,0.4806569510213477,0.5193430489786521,0.6111668460184277,0.640131203033625,16.0
85,1.0,0.5,0.7,0.7,0.6,0.4797033002270802,0.5202966997729199,0.6140077129681307,0.6441227206857186,15.0
86,1.0,0.5,0.7,0.7,0.7,0.47871494136033277,0.5212850586396672,0.617031365961377,0.6483060388013672,17.0
87,1.0,0.5,0.7,0.7,0.8,0.47769175697694954,0.5223082430230506,0.620251632152723,0.6526904036663097,18.0
88,1.0,0.5,0.7,0.7,0.9,0.47663400785907906,0.523365992140921,0.6236830634671386,0.6572848592030552,19.0
89,1.0,0.5,0.7,0.7,1.0,0.47554242539903546,0.5244575746009645,0.6273408219045228,0.6620980266448259,21.0
90,1.0,0.5,0.7,0.8,0.5,0.48080187785414646,0.5191981221458535,0.6140895648543067,0.6426287885351091,16.0
91,1.0,0.5,0.7,0.8,0.6,0.47984314067941936,0.5201568593205805,0.6170513695957212,0.6467310384561896,1000.0
92,1.0,0.5,0.7,0.8,0.7,0.478850010559728,0.521149989440272,0.6202047806121722,0.6510314717463146,18.0
93,1.0,0.5,0.7,0.8,0.8,0.47782253137355657,0.5221774686264434,0.6235642005793378,0.6555395102512845,20.0
94,1.0,0.5,0.7,0.8,0.9,0.4767611630355116,0.5232388369644885,0.6271447285623855,0.6602642994052388,21.0
95,1.0,0.5,0.7,0.8,1.0,0.47566687962893933,0.5243331203710607,0.6309620169801902,0.6652144618990219,24.0
96,1.0,0.5,0.7,0.9,0.5,0.48095412107141045,0.5190458789285896,0.6171596091711996,0.6452555137095437,18.0
97,1.0,0.5,0.7,0.9,0.6,0.47999043929531265,0.5200095607046873,0.6202502470025002,0.6494751932703968,18.0
98,1.0,0.5,0.7,0.9,0.7,0.47899275611259723,0.5210072438874027,0.6235418555009742,0.6538997752714688,18.0
99,1.0,0.5,0.7,0.9,0.8,0.47796129619640954,0.5220387038035905,0.6270494166722191,0.658538834523619,21.0
100,1.0,0.5,0.7,0.9,0.9,0.4768967415637183,0.5231032584362817,0.6307885651700242,0.6634015801300385,22.0
101,1.0,0.5,0.7,0.9,1.0,0.47580033560210194,0.5241996643978981,0.6347754112931606,0.6684965793016051,24.0
102,1.0,0.5,0.7,1.0,0.5,0.48111418950874973,0.5188858104912504,0.620387207582915,0.6480206294753191,19.0
103,1.0,0.5,0.7,1.0,0.6,0.4801457450118885,0.5198542549881116,0.6236151600484672,0.6523649125583438,20.0
104,1.0,0.5,0.7,1.0,0.7,0.4791437781778968,0.5208562218221032,0.6270540105726816,0.6569211560814725,20.0
105,1.0,0.5,0.7,1.0,0.8,0.4781087162246952,0.5218912837753047,0.6307193149006102,0.6616990554004735,1000.0
106,1.0,0.5,0.7,1.0,0.9,0.4770414887381028,0.5229585112618972,0.6346272181929081,0.6667078324109179,24.0
107,1.0,0.5,0.7,1.0,1.0,0.4759436376318447,0.5240563623681553,0.6387942374021015,0.671955925107809,25.0
108,1.0,0.5,0.8,0.5,0.5,0.47000249142334893,0.5299975085766511,0.5952114005996997,0.641032934798421,15.0
109,1.0,0.5,0.8,0.5,0.6,0.46847533182395795,0.5315246681760422,0.5973705357251993,0.6451303520389619,1000.0
110,1.0,0.5,0.8,0.5,0.7,0.46688793599362305,0.5331120640063769,0.5996816390251498,0.6494098972525555,16.0
111,1.0,0.5,0.8,0.5,0.8,0.465240376551925,0.5347596234480749,0.6021564912258509,0.6538765162609612,1000.0
112,1.0,0.5,0.8,0.5,0.9,0.46353351251397196,0.5364664874860281,0.6048073212719006,0.6585340281942355,19.0
113,1.0,0.5,0.8,0.5,1.0,0.4617691607837208,0.5382308392162792,0.6076466347967204,0.6633847951849072,22.0
114,1.0,0.5,0.8,0.6,0.5,0.4701831362505127,0.5298168637494873,0.5976687710122787,0.6429533070762827,15.0
115,1.0,0.5,0.8,0.6,0.6,0.4686496993898534,0.5313503006101467,0.5999136396155529,0.6471247832007507,15.0
116,1.0,0.5,0.8,0.6,0.7,0.4670565413333103,0.5329434586666897,0.6023168889628687,0.6514817934863929,16.0
117,1.0,0.5,0.8,0.6,0.8,0.46540394943129754,0.5345960505687025,0.6048907146087439,0.6560292174204219,17.0
118,1.0,0.5,0.8,0.6,0.9,0.4636930417211275,0.5363069582788724,0.6076477344832801,0.6607707347160289,1000.0
119,1.0,0.5,0.8,0.6,1.0,0.4619259426245057,0.5380740573754943,0.6106007962507529,0.6657084804897435,22.0
120,1.0,0.5,0.8,0.7,0.5,0.47037291120697833,0.5296270887930217,0.6002499685148632,0.6449736238128336,15.0
121,1.0,0.5,0.8,0.7,0.6,0.4688332561943269,0.5311667438056731,0.602586237500841,0.649223543262556,16.0
122,1.0,0.5,0.8,0.7,0.7,0.46723447352994263,0.5327655264700573,0.605087712152421,0.6536625856302678,16.0
123,1.0,0.5,0.8,0.7,0.8,0.4655770849775006,0.5344229150224994,0.6077670144020204,0.6582955465915208,18.0
124,1.0,0.5,0.8,0.7,0.9,0.4638624903734251,0.5361375096265749,0.6106371546546058,0.6631259409053574,20.0
125,1.0,0.5,0.8,0.7,1.0,0.4620931474372314,0.5379068525627686,0.6137113150377772,0.6681556418120679,22.0
126,1.0,0.5,0.8,0.8,0.5,0.4705724751872244,0.5294275248127757,0.6029639002360205,0.647101347307757,17.0
127,1.0,0.5,0.8,0.8,0.6,0.4690266951096391,0.5309733048903609,0.6053977108670333,0.651434439641085,18.0
128,1.0,0.5,0.8,0.8,0.7,0.46742246999261133,0.5325775300073887,0.608003991518433,0.6559604335745134,18.0
129,1.0,0.5,0.8,0.8,0.8,0.465760577829782,0.534239422170218,0.6107957992880143,0.6606840193840372,18.0
130,1.0,0.5,0.8,0.8,0.9,0.46404272536369445,0.5359572746363055,0.613786535934979,0.665608515980118,20.0
131,1.0,0.5,0.8,0.8,1.0,0.4622717318280999,0.5377282681719002,0.6169897035529148,0.6707354931357498,22.0
132,1.0,0.5,0.8,0.9,0.5,0.4707825445898185,0.5292174554101815,0.6058202474373199,0.6493446218749319,18.0
133,1.0,0.5,0.8,0.9,0.6,0.4692307725681669,0.5307692274318332,0.6083582558650283,0.6537659896758073,18.0
134,1.0,0.5,0.8,0.9,0.7,0.4676213392199634,0.5323786607800367,0.6110764650818372,0.6583842335338523,19.0
